indication,hook_archetype,awareness_stage,ads,pct
pigmentation_sun_damage,before_after_reveal,unaware,0,0.0
pigmentation_sun_damage,before_after_reveal,problem_aware,0,0.0
pigmentation_sun_damage,before_after_reveal,solution_aware,0,0.0
pigmentation_sun_damage,before_after_reveal,most_aware,0,0.0
melasma,bold_claim,unaware,0,0.0
melasma,bold_claim,problem_aware,0,0.0
melasma,bold_claim,solution_aware,0,0.0
melasma,bold_claim,most_aware,0,0.0
melasma,problem_callout,unaware,0,0.0
melasma,problem_callout,problem_aware,0,0.0
melasma,problem_callout,solution_aware,0,0.0
melasma,problem_callout,product_aware,0,0.0
melasma,problem_callout,most_aware,0,0.0
melasma,question,unaware,0,0.0
melasma,question,problem_aware,0,0.0
melasma,question,solution_aware,0,0.0
melasma,question,product_aware,0,0.0
melasma,question,most_aware,0,0.0
melasma,direct_offer,unaware,0,0.0
melasma,direct_offer,problem_aware,0,0.0
melasma,direct_offer,solution_aware,0,0.0
melasma,direct_offer,product_aware,0,0.0
melasma,direct_offer,most_aware,0,0.0
melasma,flat_spec,unaware,0,0.0
melasma,flat_spec,problem_aware,0,0.0
melasma,flat_spec,solution_aware,0,0.0
melasma,flat_spec,most_aware,0,0.0
melasma,social_proof,unaware,0,0.0
melasma,social_proof,problem_aware,0,0.0
melasma,social_proof,solution_aware,0,0.0
melasma,social_proof,product_aware,0,0.0
melasma,social_proof,most_aware,0,0.0
melasma,curiosity_tease,unaware,0,0.0
melasma,curiosity_tease,problem_aware,0,0.0
melasma,curiosity_tease,solution_aware,0,0.0
melasma,curiosity_tease,product_aware,0,0.0
melasma,curiosity_tease,most_aware,0,0.0
melasma,before_after_reveal,unaware,0,0.0
melasma,before_after_reveal,problem_aware,0,0.0
melasma,before_after_reveal,solution_aware,0,0.0
melasma,before_after_reveal,product_aware,0,0.0
melasma,before_after_reveal,most_aware,0,0.0
texture_pores,bold_claim,unaware,0,0.0
texture_pores,bold_claim,problem_aware,0,0.0
texture_pores,bold_claim,most_aware,0,0.0
texture_pores,problem_callout,unaware,0,0.0
texture_pores,problem_callout,problem_aware,0,0.0
texture_pores,problem_callout,most_aware,0,0.0
texture_pores,question,unaware,0,0.0
texture_pores,question,problem_aware,0,0.0
texture_pores,question,most_aware,0,0.0
texture_pores,direct_offer,unaware,0,0.0
texture_pores,direct_offer,problem_aware,0,0.0
texture_pores,direct_offer,solution_aware,0,0.0
texture_pores,flat_spec,unaware,0,0.0
texture_pores,flat_spec,problem_aware,0,0.0
texture_pores,flat_spec,most_aware,0,0.0
texture_pores,social_proof,unaware,0,0.0
texture_pores,social_proof,problem_aware,0,0.0
texture_pores,social_proof,solution_aware,0,0.0
texture_pores,social_proof,product_aware,0,0.0
texture_pores,social_proof,most_aware,0,0.0
texture_pores,curiosity_tease,unaware,0,0.0
texture_pores,curiosity_tease,problem_aware,0,0.0
texture_pores,curiosity_tease,solution_aware,0,0.0
texture_pores,curiosity_tease,most_aware,0,0.0
texture_pores,before_after_reveal,unaware,0,0.0
texture_pores,before_after_reveal,problem_aware,0,0.0
texture_pores,before_after_reveal,solution_aware,0,0.0
