advertiser,type,ads,dominant_hook,dominant_format,dominant_indication,dominant_awareness,offer_type,pages_tested,mismatch_rate_pct,break_rate_pct,claim_risk_rate_pct,biggest_deviation,longest_days,sample_ad_ids
Skin Spot Laser Club,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),solution_aware (100%),dollar_off (100%),1,0,0,100,null,350,4116115745272703
Reston Aesthetics,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,0,null,162,1704338340727842
Aesthetic Artistry,single_location,1,problem_callout (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),first_treatment_price (100%),1,0,0,100,null,86,1036729909300047
Love Yourself Medspa,single_location,1,problem_callout (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),dollar_off (100%),1,0,0,0,null,44,1452417820028950
IBeauty Med Spa Sylvania,single_location,1,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),percent_off (100%),1,0,0,100,null,95,1042871991429053
Bella Viságe Medical & Aesthetic Rejuvenation Lakeland,single_location,1,problem_callout (100%),offer_promo (100%),fine_lines_wrinkles (100%),product_aware (100%),dollar_off (100%),1,100,0,0,null,30,1363464869329005
OneLife Health & Performance,single_location,1,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),percent_off (100%),1,0,0,100,null,91,1332035815731640
Naya Well,single_location,1,problem_callout (100%),problem_solution (100%),fine_lines_wrinkles (100%),product_aware (100%),first_treatment_price (100%),1,0,0,100,null,17,1568203577537702
Sculpt Aesthetics Med Spa,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),event_flash_sale (100%),1,0,0,100,null,112,1682738063015582
Euphoria Skin & Hair,single_location,1,problem_callout (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,100,null,46,1971305893570082
"Princeton Rejuvenation Institute, LLC",single_location,1,problem_callout (100%),problem_solution (100%),laxity_tightening (100%),solution_aware (100%),free_consult (100%),1,0,0,0,null,4,1616871889835428
Facelift TJ,single_location,1,bold_claim (100%),provider_authority (100%),laxity_tightening (100%),product_aware (100%),package_bundle (100%),0,,,100,null,7,1354367256772575
615 Aesthetics,single_location,1,flat_spec (100%),educational_howto (100%),texture_pores (100%),product_aware (100%),no_offer (100%),0,,,0,null,59,2114190276163085
Expressions MD Medical Spa and Laser Center,single_location,1,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),product_aware (100%),dollar_off (100%),1,0,0,100,null,15,2324081495001270
Clark Institute for Aesthetics,single_location,1,bold_claim (100%),problem_solution (100%),pigmentation_sun_damage (100%),product_aware (100%),free_consult (100%),1,100,0,100,null,99,976876121812582
CosmoPlastic medspa,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),0,,,0,null,2,1828758025455761
Dosha Balanced Hendersonville ,single_location,1,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),event_flash_sale (100%),0,,,0,null,1,1413267534092098
John Ross,single_location,1,problem_callout (100%),educational_howto (100%),unspecified (100%),problem_aware (100%),no_offer (100%),1,0,0,0,null,144,1502123608236684
Qj-2805,single_location,1,curiosity_tease (100%),lifestyle_aspiration (100%),unspecified (100%),unaware (100%),no_offer (100%),0,,,0,null,20,1380247700345970
Mindvalley,single_location,1,question (100%),educational_howto (100%),unspecified (100%),unaware (100%),no_offer (100%),1,100,0,0,null,30,1040798491997294
GLO30 Voice of America Cincinnati ,single_location,1,flat_spec (100%),product_announcement (100%),general_glow (100%),product_aware (100%),package_bundle (100%),1,100,0,0,null,31,1619122622881732
LifeSculpt- Arlington Heights,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),0,,,0,null,112,2881510612219047
VIO Med Spa Charlotte REA Farms,single_location,1,bold_claim (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),0,,,0,null,84,3187504428305335
Clark Medical Cosmetics,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),package_bundle (100%),0,,,100,null,115,2830474483978477
LifeSculpt,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),0,,,0,null,24,1458066329491074
Spa One Utah,single_location,1,problem_callout (100%),problem_solution (100%),pigmentation_sun_damage (100%),problem_aware (100%),free_consult (100%),1,0,0,0,null,147,1007950265226138
Rockstar Wellness Clinic Ads,single_location,1,direct_offer (100%),problem_solution (100%),laxity_tightening (100%),most_aware (100%),first_treatment_price (100%),1,0,0,0,null,31,1306865121334515
Organic Skin & Body Medical Aesthetics,single_location,1,flat_spec (100%),product_announcement (100%),acne_scarring (100%),product_aware (100%),free_consult (100%),0,,,0,null,199,1899534187354238
Ortaclinic.en,single_location,1,before_after_reveal (100%),testimonial_ugc (100%),general_glow (100%),product_aware (100%),no_offer (100%),1,100,0,0,null,35,1327871929545084
Skinovative of Gilbert,single_location,1,problem_callout (100%),problem_solution (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,100,null,34,1773934890287865
Bevara Med Spa,single_location,1,direct_offer (100%),offer_promo (100%),unspecified (100%),most_aware (100%),package_bundle (100%),0,,,0,null,17,1064772203180471
Skintuition Medspa,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,100,null,148,2420210431831691
Delta Laser & Skin Care Centre,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),0,,,0,null,18,1827970061522645
Be Your Kind ,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),first_treatment_price (100%),1,0,0,0,null,17,2549329425531030
Karasmatic Day Spa,single_location,1,problem_callout (100%),problem_solution (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,100,null,38,1606695564125574
Valley Medical Weight Loss,single_location,1,direct_offer (100%),offer_promo (100%),unspecified (100%),most_aware (100%),dollar_off (100%),1,0,0,0,null,37,1784419579578560
Bella Medspa Atl,single_location,1,problem_callout (100%),problem_solution (100%),laxity_tightening (100%),most_aware (100%),first_treatment_price (100%),1,0,0,100,null,13,915624534520840
Sculpt Aesthetics & Plastic Surgery - Fairfax,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),event_flash_sale (100%),1,0,0,0,null,10,1591311842718238
Dr Rosy Sandhu,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),first_treatment_price (100%),1,0,0,100,null,16,1123405950115319
"Mirabile M.D. Beauty, Health & Wellness",single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),1,0,0,0,null,4,1588571959331660
Aspire Functional Aesthetics & Wellness,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),first_treatment_price (100%),1,0,0,0,null,28,2011322782920922
Venus Concept,device_manufacturer,1,flat_spec (100%),product_announcement (100%),unspecified (100%),product_aware (100%),no_offer (100%),1,0,0,0,null,29,1273565698158568
"Solara Skin & Laser Center, Anchorage AK",single_location,1,before_after_reveal (100%),before_after_showcase (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,100,null,350,1874144066646273
The One Beauty Bar,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),event_flash_sale (100%),0,,,100,null,101,1706508483805129
Senniyo Aesthetics International School of Canada Inc. 仙妮亞國際美容訓練學校,single_location,1,question (100%),catalog_generic (100%),unspecified (100%),unaware (100%),no_offer (100%),0,,,0,null,49,2109141143331985
Renaissance Medispa and Wellness Center,single_location,1,bold_claim (100%),offer_promo (100%),fine_lines_wrinkles (100%),solution_aware (100%),percent_off (100%),1,0,0,100,null,37,905298742634313
Heritage Wellness & Med Spa,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),package_bundle (100%),1,0,0,0,null,11,2520890805098205
The Skin Clinic Aesthetics + Wellness,single_location,1,direct_offer (100%),offer_promo (100%),unspecified (100%),most_aware (100%),percent_off (100%),0,,,0,null,14,1112258767802253
Aesthetics by VIP,single_location,1,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),product_aware (100%),percent_off (100%),1,0,0,100,null,41,1611403900325687
Aesthetics by White MD,single_location,1,bold_claim (100%),product_announcement (100%),unspecified (100%),product_aware (100%),no_offer (100%),1,0,0,0,null,37,1342809734635727
Bridgestone,single_location,1,flat_spec (100%),lifestyle_aspiration (100%),unspecified (100%),unaware (100%),no_offer (100%),1,0,0,0,null,65,1303123238279738
Renovio,single_location,1,bold_claim (100%),product_announcement (100%),unspecified (100%),unaware (100%),no_offer (100%),0,,,0,null,7,1049934468043672
LT Beauty,single_location,1,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),most_aware (100%),first_treatment_price (100%),0,,,0,null,81,999246872711525
Center for Plastic Surgery,single_location,1,problem_callout (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),first_treatment_price (100%),1,0,0,100,null,36,4064472613857497
New Image Med Spa,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),event_flash_sale (100%),1,0,0,100,null,2,1077889347938682
Advanced Skin and Body Solutions,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,100,null,108,1218881736880101
"RejuvaYou Medical - John Shieh, MD",single_location,1,direct_offer (100%),offer_promo (100%),general_glow (100%),product_aware (100%),dollar_off (100%),0,,,0,null,1,1080492788041077
GlowRight,single_location,1,social_proof (100%),testimonial_ugc (100%),unspecified (100%),unaware (100%),no_offer (100%),1,0,0,0,null,318,1195821935783749
Dermani Medspa,national_chain,1,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),first_treatment_price (100%),0,,,0,null,95,1555352362873491
AURĀE MedSpa,single_location,1,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),product_aware (100%),event_flash_sale (100%),1,0,0,0,null,8,867053363124546
New Hope Aesthetics - Skin Rejuvenation,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,100,null,28,7674673979471751
Daela Cosmetic Tattoo,single_location,1,bold_claim (100%),catalog_generic (100%),general_glow (100%),product_aware (100%),no_offer (100%),1,0,0,100,null,179,965980545965677
ST MED SPA,single_location,1,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),product_aware (100%),event_flash_sale (100%),0,,,0,null,981,298211079390546
Anne's Skincare Blog,single_location,1,bold_claim (100%),testimonial_ugc (100%),fine_lines_wrinkles (100%),problem_aware (100%),no_offer (100%),0,,,100,null,561,1388129385547801
Uplift Wellness and Aesthetics,single_location,1,flat_spec (100%),catalog_generic (100%),unspecified (100%),solution_aware (100%),no_offer (100%),0,,,0,null,466,609286202180532
Maia Medspa,single_location,1,before_after_reveal (100%),before_after_showcase (100%),general_glow (100%),unaware (100%),no_offer (100%),0,,,100,null,485,1217684165960471
Dr. Peter Malouf Dermatology,single_location,1,before_after_reveal (100%),before_after_showcase (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,0,null,483,1240505861130870
Biologi MD Newport,single_location,1,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),percent_off (100%),0,,,100,null,460,1920440575381270
"Ralph Garramone, Plastic Surgeon and Medi-Spa",single_location,1,direct_offer (100%),offer_promo (100%),unspecified (100%),most_aware (100%),package_bundle (100%),0,,,0,null,773,291464614027962
Premiere Center for Cosmetic Surgery,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),free_consult (100%),0,,,0,null,497,669392295729747
Halo aesthetic bar,single_location,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),0,,,0,null,711,492389176950908
Effortless Touch Miami,single_location,1,bold_claim (100%),educational_howto (100%),fine_lines_wrinkles (100%),product_aware (100%),no_offer (100%),0,,,100,null,778,513969821133526
The Esthetic,single_location,1,flat_spec (100%),catalog_generic (100%),unspecified (100%),solution_aware (100%),no_offer (100%),0,,,0,null,400,735702559442513
LIV Dermatology,single_location,1,question (100%),provider_authority (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,100,null,522,1661256201197751
740 Park Beauty & Hair Restoration,single_location,1,bold_claim (100%),product_announcement (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,0,null,847,2710536949127066
Aesthetics by Juliet,single_location,1,bold_claim (100%),provider_authority (100%),unspecified (100%),solution_aware (100%),no_offer (100%),0,,,100,null,403,1288580802824232
Clique Salon and Med Spa,single_location,1,flat_spec (100%),catalog_generic (100%),unspecified (100%),product_aware (100%),no_offer (100%),0,,,0,null,1492,367917582209176
Autotrend Mobility,single_location,1,question (100%),product_announcement (100%),unspecified (100%),product_aware (100%),no_offer (100%),0,,,0,null,406,1921987978582315
Thrive Aesthetics Chico,single_location,1,bold_claim (100%),product_announcement (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,100,null,372,686929647019009
Premier Aesthetics of Billings Plastic Surgery,single_location,1,social_proof (100%),testimonial_ugc (100%),unspecified (100%),product_aware (100%),no_offer (100%),1,100,0,100,null,695,1195798188345836
Dra. Carmen Nava ,single_location,1,bold_claim (100%),product_announcement (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,100,null,443,2564649933874121
XUNA,single_location,1,question (100%),educational_howto (100%),fine_lines_wrinkles (100%),product_aware (100%),no_offer (100%),0,,,100,null,783,816171900605622
NurseChristyNYC,single_location,1,flat_spec (100%),provider_authority (100%),texture_pores (100%),product_aware (100%),no_offer (100%),0,,,0,null,863,1507102350020118
Salt Spa & Wellness Center,single_location,1,problem_callout (100%),problem_solution (100%),fine_lines_wrinkles (100%),product_aware (100%),no_offer (100%),0,,,100,null,458,1866549887472516
latenightmedspachicago,single_location,1,flat_spec (100%),catalog_generic (100%),unspecified (100%),unaware (100%),no_offer (100%),0,,,0,null,650,954255790096187
Advanced Laser & Aesthetics Inc,single_location,1,direct_offer (100%),catalog_generic (100%),unspecified (100%),most_aware (100%),percent_off (100%),0,,,0,null,366,2952003418325188
Bespoke dermatology & aesthetics,single_location,1,flat_spec (100%),product_announcement (100%),melasma (100%),product_aware (100%),percent_off (100%),0,,,100,null,458,989993929876166
