advertiser,type,ads,dominant_hook,dominant_format,dominant_indication,dominant_awareness,offer_type,pages_tested,mismatch_rate_pct,break_rate_pct,claim_risk_rate_pct,biggest_deviation,longest_days,sample_ad_ids
Dr. Paul Jarrod Frank,single_location,3,bold_claim (100%),educational_howto (100%),general_glow (100%),product_aware (67%),no_offer (100%),1,100,0,33,"[""format"", ""educational_howto"", 100, 92]",4,2091871554773455|2111202476140645|28288256030828257
FACE Skincare~Medical~Wellness,single_location,3,bold_claim (100%),product_announcement (100%),general_glow (67%),product_aware (100%),gift_with_treatment (67%),0,,,33,"[""format"", ""product_announcement"", 100, 93]",11,1621434629507988|1103130399037499|1698078314594314
Luna Dermatology,single_location,3,question (100%),offer_promo (100%),general_glow (100%),most_aware (100%),first_treatment_price (100%),3,0,0,100,"[""offer"", ""first_treatment_price"", 100, 92]",87,1324472182455746|1317580117031646|1957529214802115
xTool,single_location,3,curiosity_tease (67%),testimonial_ugc (67%),unspecified (100%),product_aware (100%),no_offer (100%),3,0,0,0,"[""indication"", ""unspecified"", 100, 85]",42,1417110160235973|952161381243913|2125234138032275
Norse Organics,single_location,3,curiosity_tease (100%),comparison_switch (100%),acne_scarring (100%),problem_aware (67%),no_offer (100%),3,0,0,100,"[""driver"", ""fear_loss"", 100, 98]",64,27986265257700742|1015264117922407|1579366067221443
Solta Medical (Clear + Brilliant),device_manufacturer,3,curiosity_tease (67%),testimonial_ugc (100%),general_glow (100%),product_aware (100%),no_offer (100%),3,0,0,0,"[""format"", ""testimonial_ugc"", 100, 95]",80,1753706319313979|1702165114410555|1655927595474381
InMode,device_manufacturer,3,flat_spec (33%),comparison_switch (33%),acne_scarring (33%),product_aware (100%),no_offer (100%),1,0,0,0,"[""offer"", ""no_offer"", 100, 58]",114,1040062901702476|1291209316365599|1530221548519146
Just Wellness,single_location,3,flat_spec (33%),educational_howto (33%),pigmentation_sun_damage (67%),product_aware (100%),no_offer (67%),0,,,0,"[""indication"", ""pigmentation_sun_damage"", 67, 56]",10,1784464462901956|1125923773443565|916781717782051
Skin Plus Beauty,single_location,3,flat_spec (67%),offer_promo (67%),pigmentation_sun_damage (33%),product_aware (100%),dollar_off (33%),3,33,0,33,"[""downtime_handling"", ""downtime_minimized"", 100, 82]",80,1131933803344472|28454716860851918|1581811420046679
Serenity Aesthetics & Wellness,single_location,3,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),dollar_off (100%),3,0,0,0,"[""indication"", ""general_glow"", 100, 87]",73,1557293379126133|2100317300836874|1057560953463078
Lauréate Aesthetics,single_location,3,bold_claim (67%),educational_howto (67%),laxity_tightening (67%),product_aware (100%),free_consult (67%),0,,,100,"[""funnel"", ""mid_consideration"", 100, 76]",289,25438498062428750|874573095521732|1591753772460951
SkinLab by Maffi Plastic Surgery,single_location,3,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),most_aware (100%),dollar_off (100%),0,,,0,"[""indication"", ""pigmentation_sun_damage"", 100, 90]",2,2676493649433594|1611083880458404|1425105673055232
Skin Deep Medical Spa- Steven Bloch MD,single_location,3,flat_spec (67%),lifestyle_aspiration (67%),general_glow (67%),product_aware (100%),no_offer (100%),0,,,0,"[""format"", ""lifestyle_aspiration"", 67, 64]",360,1091985529586737|1873409953525533|29594396836826777
Texas Neuro Eye & Plastic Surgery,single_location,3,problem_callout (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),0,,,0,"[""offer"", ""percent_off"", 100, 87]",109,2328996107900409|985956694327767|1373922584957135
Ageless Center,single_location,3,bold_claim (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),3,0,0,100,"[""offer"", ""percent_off"", 100, 87]",64,1044126541682635|1034077072437813|1621396523106967
SER Aesthetics,single_location,3,direct_offer (67%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),gift_with_treatment (100%),1,0,0,100,"[""offer"", ""gift_with_treatment"", 100, 96]",66,2233918987368299|850512784605888|1561686232006378
Self Aesthetics & Wellness,single_location,3,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (67%),3,0,0,100,"[""awareness_stage"", ""most_aware"", 100, 72]",32,1722624338952741|987979937666809|1262356899282842
Green Leaf Medi Spa,single_location,3,problem_callout (67%),offer_promo (100%),laxity_tightening (67%),product_aware (67%),event_flash_sale (100%),3,100,100,67,"[""offer"", ""event_flash_sale"", 100, 91]",15,1609755710669231|1072776101903454|1059280043376585
Radiant Lab Medical Aesthetics,single_location,3,social_proof (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),first_treatment_price (100%),3,0,0,0,"[""hook_archetype"", ""social_proof"", 100, 94]",30,2523539688164458|1587236312946862|1030329902964331
The Hughes Center for Aesthetic Medicine,single_location,3,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),gift_with_treatment (100%),0,,,100,"[""offer"", ""gift_with_treatment"", 100, 96]",4,1555548225784514|1068550465890876|1618307179848607
Cleo Skin And Laser,single_location,3,problem_callout (67%),problem_solution (67%),acne_scarring (67%),product_aware (67%),no_offer (67%),3,67,0,67,"[""cta_intent"", ""book_appointment"", 100, 82]",32,1089958053368501|3715398655281502|1491491636334077
